appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer,appid,Genre
365340,"The Way of the Pixelated Fist",game,1.99,"2015-04-27 00:00:00",-1,0,0,365340,Adventure
365340,"The Way of the Pixelated Fist",game,1.99,"2015-04-27 00:00:00",-1,0,0,365340,Indie
369110,"The Swindle",game,14.99,"2015-07-28 00:00:00",70,0,0,369110,Action
369110,"The Swindle",game,14.99,"2015-07-28 00:00:00",70,0,0,369110,Indie
369110,"The Swindle",game,14.99,"2015-07-28 00:00:00",70,0,0,369110,RPG
370150,"LOOP: A Tranquil Puzzle Game",game,4.99,"2015-05-22 00:00:00",-1,0,0,370150,Casual
370150,"LOOP: A Tranquil Puzzle Game",game,4.99,"2015-05-22 00:00:00",-1,0,0,370150,Indie
370170,"Dale Hardshovel HD",game,1.99,"2015-09-22 00:00:00",-1,0,0,370170,Casual
370170,"Dale Hardshovel HD",game,1.99,"2015-09-22 00:00:00",-1,0,0,370170,Indie
370390,"Path to the Sky",game,9.99,"2016-02-02 00:00:00",-1,0,0,370390,Action
370390,"Path to the Sky",game,9.99,"2016-02-02 00:00:00",-1,0,0,370390,Adventure
370390,"Path to the Sky",game,9.99,"2016-02-02 00:00:00",-1,0,0,370390,"Early Access"
370390,"Path to the Sky",game,9.99,"2016-02-02 00:00:00",-1,0,0,370390,Indie
370390,"Path to the Sky",game,9.99,"2016-02-02 00:00:00",-1,0,0,370390,RPG
370540,"Gary Grigsby's War in the East",game,79.99,"2015-07-09 00:00:00",-1,0,1,370540,Simulation
370540,"Gary Grigsby's War in the East",game,79.99,"2015-07-09 00:00:00",-1,0,1,370540,Strategy
370780,"Fated Souls",game,9.99,"2015-07-30 00:00:00",-1,0,0,370780,Adventure
370780,"Fated Souls",game,9.99,"2015-07-30 00:00:00",-1,0,0,370780,Casual
370780,"Fated Souls",game,9.99,"2015-07-30 00:00:00",-1,0,0,370780,Indie
370780,"Fated Souls",game,9.99,"2015-07-30 00:00:00",-1,0,0,370780,RPG
371370,Advent,game,0,"2015-05-15 00:00:00",-1,0,0,371370,RPG
