,app_id,is_multiplayer,price,rating,release_date,required_age,title,ratings2021
384,24200,1,0.0,72,2011-11-02 00:00:00,0,DC Universe™ Online,79
385,24240,0,14.99,76,2011-10-20 00:00:00,17,PAYDAY™ The Heist,92
386,24420,0,9.99,82,2008-12-15 00:00:00,0,Aquaria,91
387,24460,0,4.99,54,2011-09-16 00:00:00,0,King Arthur: Fallen Champions,36
388,24480,0,9.99,66,2012-01-27 00:00:00,0,King Arthur II: The Role-Playing Wargame,53
389,24720,0,19.99,70,2009-06-23 00:00:00,0,SPORE™ Galactic Adventures,86
390,24740,1,19.99,87,2009-03-12 00:00:00,0,Burnout Paradise: The Ultimate Box,86
391,24790,0,14.99,85,2009-11-13 00:00:00,0,Command & Conquer 3: Tiberium Wars,90
392,24810,1,19.99,77,2009-11-13 00:00:00,0,Command & Conquer 3: Kane's Wrath,95
393,24840,1,9.99,78,2009-10-06 00:00:00,0,Medal of Honor: Airborne,79
394,24860,0,0.0,91,2009-10-06 00:00:00,0,Battlefield 2: Complete Collection,-1
395,24870,1,19.99,83,2009-10-06 00:00:00,0,Need for Speed: Shift,75
396,24960,1,19.99,87,2010-03-02 00:00:00,17,Battlefield: Bad Company™ 2,85
397,24980,0,19.99,94,2010-01-26 00:00:00,17,Mass Effect 2,94
398,25600,0,5.99,75,2009-02-10 00:00:00,0,Eschalon: Book I,85
399,25700,1,4.99,79,2009-09-17 00:00:00,0,Madballs in Babo:Invasion ,84
400,25800,1,14.99,83,2009-02-04 00:00:00,0,Europa Universalis III Complete,85
401,25830,1,9.99,77,2009-02-04 00:00:00,0,Knights of Honor,92
402,25850,1,4.99,71,2009-04-07 00:00:00,0,Elven Legacy,77
403,25860,1,9.99,75,2010-06-04 00:00:00,0,Sword of the Stars: Complete Collection,89
404,25890,1,9.99,77,2009-08-07 00:00:00,0,Hearts of Iron III,77
405,25900,0,6.99,79,2009-05-01 00:00:00,0,King's Bounty: The Legend,91
406,25910,1,9.99,65,2009-07-09 00:00:00,0,Supreme Ruler 2020 Gold,80
407,25980,0,9.99,72,2009-09-17 00:00:00,0,Majesty 2,69
408,26000,0,9.99,75,2009-03-09 00:00:00,0,The Maw,80
409,26300,1,4.99,35,2009-03-17 00:00:00,17,Drug Wars,34
410,26500,0,9.99,73,2009-04-14 00:00:00,0,Cogs,90
411,26800,0,14.99,90,2009-04-10 00:00:00,0,Braid,94
412,26900,0,19.99,79,2009-05-06 00:00:00,0,Crayon Physics Deluxe,91
413,27000,0,9.99,79,2009-03-18 00:00:00,0,The Path,77
414,27330,1,0.99,65,2010-07-14 00:00:00,0,Blacklight: Tango Down,40
415,27400,0,19.99,81,2009-02-23 00:00:00,0,Dangerous High School Girls in Trouble!™,72
416,28000,1,9.99,66,2010-08-17 00:00:00,17,Kane & Lynch 2: Dog Days,61
417,29160,0,4.99,68,2009-06-01 00:00:00,0,Blueberry Garden,75
418,29180,0,9.99,80,2009-08-18 00:00:00,0,Osmos,89
419,29900,1,9.99,66,2009-03-24 00:00:00,0,Dark Sector,83
420,31170,0,19.99,79,2009-07-07 00:00:00,0,Tales of Monkey Island Complete Pack,88
421,31180,0,19.99,79,2009-07-07 00:00:00,0,Tales of Monkey Island Complete Pack,88
422,31190,0,19.99,79,2009-07-07 00:00:00,0,Tales of Monkey Island Complete Pack,94
423,31200,0,19.99,79,2009-07-07 00:00:00,0,Tales of Monkey Island Complete Pack,77
